ID,Plane,Category,Domain,Requirement,MustOrGood,Weight,Applies_To,V4_Consolidated
AIS-01,Control,Both,Discovery & Visibility,"Comprehensive AI asset discovery across all deployment models: (1) Network/endpoint scanning (agents/models/tools/vector DBs), (2) Shadow AI detection (sanctioned/unsanctioned services), (3) OAuth grant monitoring (SaaS integrations), (4) Vendor API inventory sync",Must,5,Both,"Merged V4: AIS-01 + AIS-32"
AIS-02,Control,Security,Policy Enforcement,"Multi-layer policy enforcement: (1) Inline enforcement (block/allow/warn at gateway/endpoint), (2) Out-of-band controls (IdP conditional access, device compliance), (3) API-based policy push to SaaS vendors (where supported)",Must,5,Both,"Merged V4: AIS-02 + AIS-31"
AIS-03,Runtime,Security,Data Protection,"Bidirectional DLP: (1) Prompt scanning (PII/PHI/PCI/secrets/credentials), (2) Response scanning (sensitive output), Actions: allow/block/redact",Must,5,BuildAgent + BuyAgent-A,V4: AIS-03
AIS-04,Runtime,Security,Enforcement,Inline enforcement point for all requests + responses (AI firewall/proxy architecture),Must,5,BuildAgent + BuyAgent-A,V4: AIS-04
AIS-05,Runtime,Security,Threat Protection,"Bidirectional guardrails: (1) Input validation (prompt injection/jailbreaks/adversarial), (2) Output validation (toxicity/bias/harm/policy violations), (3) Hallucination detection + grounding verification",Must,5,BuildAgent + BuyAgent-A,V4: AIS-05
AIS-06,Data,Security,RAG Security,"RAG protection: (1) Knowledge poisoning detection/mitigation, (2) Retrieval source access control + audit, (3) Vector embedding manipulation detection",Must,4,BuildAgent + BuyAgent-A,V4: AIS-06
AIS-07,Runtime,Security,Agent Security,"Agent containment: (1) Tool execution controls (allowlist/scope/parameters), (2) Blast radius limits (quotas/timeouts/spend caps)",Must,5,BuildAgent,V4: AIS-07
AIS-08,Runtime,Security,Tool/Action Security,"Tool security framework: (1) Trusted registry (endpoints/versions), (2) Action-level authorization, (3) Safety gating (AI output → execution approval)",Must,5,BuildAgent,V4: AIS-08
AIS-09,Control,Security,Cross-System Security,"Multi-agent orchestration: (1) Secure delegation across trust boundaries, (2) End-to-end traceability in chained systems",Must,4,BuildAgent,V4: AIS-09
AIS-10,Runtime,Security,Abuse & Threat Detection,"Comprehensive abuse/anomaly detection: (1) Rate limiting + throttling, (2) Exfiltration patterns, (3) Suspicious prompts, (4) Credential abuse/sharing, (5) Session hijacking, (6) OAuth anomaly patterns, (7) Personal vs enterprise account separation violations",Must,5,Both,"Merged V4: AIS-10 + AIS-34"
AIS-11,Control,Both,Identity & Access,"IAM integration: (1) SSO + SCIM + RBAC/ABAC, (2) Model/agent access control per user/location, (3) Fine-grained authorization",Must,4,Both,V4: AIS-11
AIS-12,Data,Security,Supply Chain,AI supply chain integrity: models/datasets/prompts/packages with provenance + validation,Must,4,BuildAgent,V4: AIS-12
AIS-13,Control,Governance,Change Management,Approval workflows for model/agent/policy deployments with emergency rollback capability,Must,4,BuildAgent + BuyAgent-A,V4: AIS-13
AIS-14,Runtime,Both,Observability & Integration,"Full telemetry across deployment models: (1) Inline capture (prompts/responses/tool calls/metadata/reasoning traces), (2) API-based log ingestion (SaaS vendor APIs, webhooks), (3) OAuth/SSO delegation for identity propagation, (4) Usage analytics aggregation",Must,5,Both,"Merged V4: AIS-14 + AIS-30"
AIS-15,Control,Both,SecOps Integration,SIEM/SOAR integration with usable event taxonomy + automated playbooks,Must,4,Both,V4: AIS-15
AIS-16,Control,Security,Incident Response,"IR automation: (1) Containment actions (disable/quarantine/revoke/session termination), (2) Forensic reconstruction with prompt/response replay",Must,4,Both,V4: AIS-16
AIS-17,Control,Security,Isolation & Encryption,"Foundation security: (1) Tenant isolation, (2) Encryption at-rest/in-transit, (3) CMK/KMS support, (4) Secrets vault integration",Must,5,BuildAgent + BuyAgent-A,V4: AIS-17
AIS-18,Control,Governance,Audit & Compliance,"Audit framework: (1) Immutable logs with retention enforcement, (2) Evidence export, (3) Automated compliance evidence collection",Must,4,Both,V4: AIS-18
AIS-19,Control,Governance,Risk Management,Risk acceptance workflow with expiry + justification + remediation tracking,Must,4,Both,V4: AIS-19
AIS-20,Data,Both,Privacy,Privacy controls: retention/minimization/right-to-delete for prompt/response data with policy enforcement,Must,4,Both,V4: AIS-20
AIS-21,Control,Both,Deployment,Multi-environment separation (dev/test/prod) with promotion gates + approval checkpoints,Must,4,BuildAgent,V4: AIS-21
AIS-22,Runtime,Security,Model Security,"Model protection: (1) Extraction/theft detection, (2) API abuse patterns, (3) Behavior monitoring (drift/degradation/anomalies)",Must,4,BuildAgent + BuyAgent-A,V4: AIS-22
AIS-23,Control,Security,Secrets Management,Centralized credential lifecycle: API keys/model credentials with rotation/revocation/vault storage,Must,5,BuildAgent + BuyAgent-A,V4: AIS-23
AIS-24,Runtime,Security,Session & Context Security,"Conversation security: (1) Session token management (timeout/binding/anti-replay), (2) Context window manipulation prevention, (3) Overflow detection",Must,4,BuildAgent + BuyAgent-A,V4: AIS-24
AIS-25,Data,Security,Fine-tuning Security,Custom model training controls: data validation + access control + provenance tracking,Good,3,BuildAgent,V4: AIS-25
AIS-26,Runtime,Security,Vendor Risk Management,"Third-party vendor assessment covering all external dependencies: (1) Security posture validation (SOC2/ISO27001/pentests), (2) Data residency verification + sovereignty compliance, (3) SLA monitoring + failover strategies, (4) Compliance certification tracking (GDPR/HIPAA), (5) Terms of service review + change monitoring",Must,4,Both,"Merged V4: AIS-26 + AIS-33"
AIS-27,Control,Both,Cost Management,"Cost governance: (1) Usage metering + attribution (per app/user/model), (2) Budgets/caps/alerts, (3) Policy-based throttling",Must,4,Both,V4: AIS-27
AIS-28,Control,Security,Policy Management,Centralized policy engine: versioning + testing + staged rollout with safe deployment practices,Must,5,BuildAgent + BuyAgent-A,V4: AIS-28
AIS-29,Runtime,Security,Reasoning Transparency,Reasoning trace security: redaction + access control + audit for chain-of-thought exposure,Good,3,BuildAgent + BuyAgent-A,V4: AIS-29
